WKT,municipality,source_class,source_class_secondary,canbics_class,surface_type,width_m,length_km,length
"MULTILINESTRING Z ((-123.14427341594 49.2967643051182 0,-123.144082071347 49.2967544782661 0,-123.143309013749 49.296675373647 0,-123.143125234494 49.2966656167849 0,-123.142910965389 49.2966709192511 0,-123.142605102083 49.2967213011707 0,-123.142398555593 49.2967815535595 0,-123.142215035467 49.2968619353873 0,-123.141627781985 49.297210769113 0,-123.141443468242 49.2973031951939 0,-123.141198739192 49.2973835513541 0,-123.140961668738 49.2974488757445 0,-123.139637941259 49.2976686243339 0,-123.139184848252 49.2977545349502 0,-123.138873062361 49.2978105900546 0,-123.138706572818 49.2978366061007 0,-123.138437462134 49.2978572578435 0,-123.138108464035 49.2978576425036 0,-123.137802088608 49.2977829886634 0,-123.13761051838 49.2976881291687 0,-123.137188602694 49.2973182913088 0,-123.137119420367 49.2972688101147 0,-123.13702004635 49.2972434627008 0,-123.136887671068 49.2972160944069 0))",Vancouver,shared lanes,,shared_roadway,paved,,0.5995,599.023349700569
"MULTILINESTRING Z ((-123.149515603858 49.295775397386 0,-123.149275606229 49.2958671884077 0,-123.149023212188 49.2959076325659 0,-123.146962643392 49.2959526206383 0,-123.146697066002 49.2960006324118 0))",Vancouver,shared lanes,,shared_roadway,paved,,0.209,208.892021089817
"MULTILINESTRING Z ((-123.096814400304 49.2473807400593 0,-123.096861575127 49.2456553879694 0))",Vancouver,local street,,local_street_bikeway,paved,,0.1918,191.733004492984
"MULTILINESTRING Z ((-123.096691733169 49.2511122253025 0,-123.096707779211 49.2506601478196 0))",Vancouver,local street,,local_street_bikeway,paved,,0.0503,50.2426731355281
"MULTILINESTRING Z ((-123.096645615657 49.2524696521984 0,-123.096658509426 49.2520143301904 0))",Vancouver,local street,,local_street_bikeway,paved,,0.0506,50.5980478560382
"MULTILINESTRING Z ((-123.096511712109 49.2560824874296 0,-123.096527558432 49.2556320656503 0))",Vancouver,local street,,local_street_bikeway,paved,,0.0501,50.0575161975892
"MULTILINESTRING Z ((-123.096540926299 49.2551863504038 0,-123.096560072829 49.2547302318182 0))",Vancouver,local street,,local_street_bikeway,paved,,0.0507,50.6964869466008
"MULTILINESTRING Z ((-123.096610712739 49.2533712635266 0,-123.096626784107 49.2529173421913 0))",Vancouver,local street,,local_street_bikeway,paved,,0.0505,50.4471098711044
"MULTILINESTRING Z ((-123.096527558432 49.2556320656503 0,-123.096540926299 49.2551863504038 0))",Vancouver,local street,,local_street_bikeway,paved,,0.0496,49.5309509280008
"MULTILINESTRING Z ((-123.109625440929 49.2586452016052 0,-123.109629361466 49.2585426362546 0))",Vancouver,local street,,local_street_bikeway,paved,,0.0114,11.399006820313
"MULTILINESTRING Z ((-123.105571437196 49.2350546629636 0,-123.1055714289 49.2350546377845 0,-123.105589716894 49.2346023839278 0))",Vancouver,local street,,local_street_bikeway,paved,,0.0503,50.2721317041784
"MULTILINESTRING Z ((-123.105645798849 49.2333513350294 0,-123.105654605457 49.2331595481718 0))",Vancouver,local street,,local_street_bikeway,paved,,0.0213,21.3199255575075
"MULTILINESTRING Z ((-123.105677322193 49.232236066489 0,-123.105697966912 49.2317137551848 0))",Vancouver,local street,,local_street_bikeway,paved,,0.0581,58.0560488149674
"MULTILINESTRING Z ((-123.104964993602 49.2493893733069 0,-123.104964989398 49.2493893346312 0,-123.104989097849 49.2488458677886 0))",Vancouver,local street,,local_street_bikeway,paved,,0.0604,60.4132968468372
"MULTILINESTRING Z ((-123.104766560449 49.2537640922264 0,-123.104789888873 49.253268202277 0))",Vancouver,local street,,local_street_bikeway,paved,,0.0552,55.1225910456403
"MULTILINESTRING Z ((-123.097681452254 49.2200673583817 0,-123.097693510056 49.2198426426437 0))",Vancouver,local street,,local_street_bikeway,paved,,0.025,24.9857991790204
"MULTILINESTRING Z ((-123.097566394743 49.223681178882 0,-123.097585929382 49.2228596226877 0))",Vancouver,local street,,local_street_bikeway,paved,,0.0913,91.3011702705945
"MULTILINESTRING Z ((-123.097487269209 49.2265813184888 0,-123.097487269158 49.2265812924026 0,-123.097487731914 49.2265679817205 0,-123.097503676239 49.2261087672358 0,-123.097528664246 49.2255812026512 0))",Vancouver,local street,,local_street_bikeway,paved,,0.1112,111.172016753001
"MULTILINESTRING Z ((-123.08785206914 49.2165066713669 0,-123.085490776858 49.2164651677166 0,-123.083128548511 49.2164240041673 0,-123.083128508685 49.2164240014973 0))",Vancouver,local street,,local_street_bikeway,paved,,0.3441,343.967077705513
"MULTILINESTRING Z ((-123.140225277108 49.2713750437237 0,-123.140225340287 49.2713750238576 0,-123.140633492516 49.2712190458482 0))",Vancouver,protected bike lanes,street_level_on_street,cycle_track,paved,,0.0344,34.3664960327849
"MULTILINESTRING Z ((-123.140633492516 49.2712190458482 0,-123.141116622909 49.2710344168962 0))",Vancouver,protected bike lanes,street_level_on_street,cycle_track,paved,,0.0407,40.673633411179
"MULTILINESTRING Z ((-123.080514572936 49.2164097676934 0,-123.080091548688 49.2164082015535 0))",Vancouver,local street,,local_street_bikeway,paved,,0.0308,30.7939378408046
"MULTILINESTRING Z ((-123.112887649347 49.2634640965572 0,-123.112887650662 49.2634640704699 0,-123.112899714087 49.2631820301675 0))",Vancouver,painted lanes,paint_buffer_parking,painted_bike_lane,paved,,0.0314,31.3504959286925
"MULTILINESTRING Z ((-123.121673054142 49.2290737121911 0,-123.122354740305 49.2290974700842 0))",Vancouver,local street,,local_street_bikeway,paved,,0.0497,49.6774664080706
"MULTILINESTRING Z ((-123.112674957808 49.278444986994 0,-123.112678201685 49.2784428132931 0,-123.113982011774 49.2775807710008 0))",Vancouver,protected bike lanes,street_level_on_street,cycle_track,paved,,0.1352,135.070387342054
"MULTILINESTRING Z ((-123.124435243487 49.2070708473531 0,-123.123890006395 49.2065141011238 0))",Vancouver,local street,,local_street_bikeway,paved,,0.0735,73.5099957642988
"MULTILINESTRING Z ((-123.123898162847 49.2170179278459 0,-123.123898135323 49.2170179035882 0,-123.123931312063 49.2160675669936 0))",Vancouver,local street,,local_street_bikeway,paved,,0.1057,105.633549838904
"MULTILINESTRING Z ((-123.152236131733 49.2749672935198 0,-123.15223612494 49.2749673196148 0,-123.15185293827 49.2754016447697 0))",Vancouver,protected bike lanes,street_level_on_street,cycle_track,paved,,0.0558,55.7178658516749
"MULTILINESTRING Z ((-123.123755388388 49.2212796002641 0,-123.123763895136 49.2210274212591 0,-123.12379930802 49.2199685738682 0))",Vancouver,local street,,local_street_bikeway,paved,,0.1458,145.715776252751
"MULTILINESTRING Z ((-123.12363945776 49.2247732894863 0,-123.123669692573 49.2238458863411 0,-123.123689639727 49.2232606201603 0))",Vancouver,local street,,local_street_bikeway,paved,,0.1682,168.124795817616
"MULTILINESTRING Z ((-123.124109975233 49.2109961941093 0,-123.124120726216 49.2107254117548 0,-123.12412233546 49.2106355057039 0))",Vancouver,local street,,local_street_bikeway,paved,,0.0401,40.0918459623262
"MULTILINESTRING Z ((-123.116854387241 49.2169387264517 0,-123.116891065641 49.2159160680991 0))",Vancouver,painted lanes,no_buffer,painted_bike_lane,paved,,0.1137,113.670471927741
"MULTILINESTRING Z ((-123.104616297455 49.2697367607217 0,-123.104616298759 49.2697367274383 0,-123.104629142788 49.2694283604701 0))",Vancouver,local street,,local_street_bikeway,paved,,0.0343,34.275915459271
"MULTILINESTRING Z ((-123.10465743063 49.2687418537725 0,-123.104676378638 49.2682898458874 0))",Vancouver,local street,,local_street_bikeway,paved,,0.0503,50.2370496377247
"MULTILINESTRING Z ((-123.104713575239 49.2673857757639 0,-123.104732564998 49.2669338396864 0,-123.104732574564 49.2669338135917 0))",Vancouver,local street,,local_street_bikeway,paved,,0.0503,50.2323885638357
"MULTILINESTRING Z ((-123.086662723972 49.2662191701262 0,-123.086662762471 49.2662191772935 0,-123.089053681252 49.2666764670988 0))",Vancouver,protected bike lanes,off_street_shared_with_pedestrians,multi_use_path,paved,,0.1812,181.109584385498
"MULTILINESTRING Z ((-123.21534311427 49.2602885530077 0,-123.215333391005 49.2605574678807 0,-123.21532676897 49.2607406237536 0))",Vancouver,painted lanes,paint_buffer_traffic,painted_bike_lane,paved,,0.0503,50.2406672064687
"MULTILINESTRING Z ((-123.215148784712 49.2656825640945 0,-123.215132358383 49.2661170947803 0))",Vancouver,painted lanes,paint_buffer_traffic,painted_bike_lane,paved,,0.0483,48.2916690489434
"MULTILINESTRING Z ((-123.145987422502 49.3036290227603 0,-123.14612984916 49.304531327421 0,-123.146166647781 49.3051595934582 0,-123.146202568539 49.3054908391289 0,-123.146378050871 49.3057533660007 0,-123.146763353113 49.3060727454757 0,-123.147130848083 49.3062779071288 0,-123.147620847502 49.3065514550636 0,-123.147849095565 49.306928150528 0,-123.147884823766 49.3071908528584 0,-123.147763483342 49.3075108761337 0,-123.14743262299 49.3078768620477 0,-123.147076521593 49.3080800886986 0))",Vancouver,protected bike lanes,off_street_shared_with_pedestrians,multi_use_path,unpaved,,0.5593,558.901763824024
"MULTILINESTRING Z ((-123.043353687829 49.290716605201 0,-123.042965466242 49.2903672845587 0,-123.042790088557 49.2902094557496 0))",Vancouver,local street,,local_street_bikeway,paved,,0.0697,69.6517998787708
"MULTILINESTRING Z ((-123.077132640813 49.2110798444598 0,-123.077119266916 49.2110793136724 0,-123.077117118136 49.211079296217 0,-123.07694093585 49.2110777666703 0,-123.076940517078 49.2110777633512 0))",Vancouver,shared lanes,,shared_roadway,paved,,0.014,13.9900873380634
"MULTILINESTRING Z ((-123.060021115433 49.2884290739492 0,-123.05929625164 49.2893275182422 0))",Vancouver,local street,,local_street_bikeway,paved,,0.1129,112.856268435623
"MULTILINESTRING Z ((-123.051930559254 49.29165215585 0,-123.051930519375 49.2916521585665 0,-123.050819819817 49.2918920702453 0))",Vancouver,local street,,local_street_bikeway,paved,,0.0851,84.995367765992
"MULTILINESTRING Z ((-123.115343172603 49.2664072220367 0,-123.116017313369 49.266079660541 0,-123.116130411911 49.26604484433 0))",Vancouver,protected bike lanes,off_street_bike_path,bike_path,paved,,0.0702,70.1351120840788
